ZIP CODE,tc_2 # OF PROPERTIES,tc_2  FY'2017 MARKET VALUE LAND,tc_2  FY'2017 MARKET VALUE TOTAL,tc_2  FY'2017 ASSESSED VALUE LAND,tc_2  FY'2017 ASSESSED VALUE TOTAL,tc_2  FY'2017 EXEMPT VALUE LAND,tc_2  FY'2017 EXEMPT VALUE TOTAL,tc_2  FY'2017 ACTUAL ASSESSED VALUE LAND,tc_2  FY'2017 ACTUAL ASSESSED VALUE TOTAL,tc_2  Average Actual Assessment Ratio,tc_2  Median Actual Assessment Ratio,tc_2  FY'2017 ACTUAL EXEMPT VALUE LAND,tc_2  FY'2017 ACTUAL EXEMPT VALUE TOTAL,tc_2  TOTAL UNITS,tc_2  RESIDENTIAL UNITS,tc_2  LAND SQUARE FEET,tc_2 GROSS SQUARE FEET,tc_2 Taxable Assessed Value,tc_2 Total Taxes,tc_2 Average Taxable Effective Tax Rate,tc_2 Median Taxable Effective Tax Rate,tc_2 Taxes w/out Exemption,tc_2 Average Effective Tax Rate w/out Exemption,tc_2 Median Effective Tax Rate w/out Exemption,tc_2 Average Market Value Per Residential Unit,tc_2  Average Market Value Per Gross Square Foot,tc_2 Actual Assessed Value Per Residential Unit,tc_2 Actual Assessed Value Per Gross Square Foot,tc_2 Taxes w/out Exemption Per Residential Unit,tc_2 Taxes w/out Exemption Per Gross Square Foot,tc_1 # of Properties,tc_1 Finance FY'2017 Market Value Total,tc_1 Average Market Value,tc_1 Finance FY'2017 Assessed Value Land,tc_1 Finance FY'2017 Assessed Value Total,tc_1 Average Assessed Value,tc_1 Finance FY'2017 Exempt Value Land,tc_1 Finance FY'2017 Exempt Value Total,"tc_1 Finance FY'2017 Taxable Assessed Value 
(Assessed Value minus Exempt Value)","tc_1 FY'2017 Taxes
(Taxable Assessed Value * Tax Rate)",tc_1 FY'2017 Average Effective Tax Rate (Taxes ÷ Market Value),tc_1 FY'2017 Median Effective Tax Rate,"tc_1 FY'2017 Average Assessment Ratio
(Assessed Value ÷ Market Value)",tc_1 FY'2017 Median Actual Assessment Ratio,tc_1 FY'2017 Taxes w/out Exemptions,tc_1 FY'2017 Average Taxes w/out Exemptions,tc_1 FY'2017 Average Effective Tax Rate w/out Exemptions,tc_1 FY'2017 Median Effective Tax Rate w/out Exemption
10460,608,98707223,823761625,33368231,302773217,15124070,161786047,36020893,339262711,0.4118,0.45,16879153,180162628,18323,17974,5218195,16642248,140154985,18068781,0.0219,0.023,43737749,0.0531,0.058,45831,49,18875,20,2433,2.63,3095,1362073534,440088,25986033,74340364,24020,4491555,7362311,66978053,13389583,0.0098,0.0107,0.0546,0.0571,14861382,4802,0.0109,0.0114
10461,731,96294671,541761862,26821553,168412589,2706555,18262623,27296204,188148439,0.3473,0.2799,2809305,19915222,9675,9371,4846743,9831055,149767826,19308068,0.0356,0.0276,24256097,0.0448,0.0361,57813,55,20078,19,2588,2.47,5308,2148854680,404833,37578664,107021818,20162,8769591,19569066,87452752,17482680,0.0081,0.0099,0.0498,0.0554,21394732,4031,0.01,0.0111
10462,12775,127788505,1157853891,40509680,429587237,4444419,174548458,42136236,483578306,0.4177,0.45,4548891,186624585,25163,24874,11262040,62968857,254588010,32821486,0.0283,0.0176,62342915,0.0538,0.058,46549,18,19441,8,2506,0.99,355,164325550,462889,1962757,5558464,15658,380649,1227944,4330520,865714,0.0053,0.0054,0.0338,0.0298,1111193,3130,0.0068,0.006
10463,1030,252768291,1629211240,95528725,633184258,35461015,178213038,110794684,722966548,0.4438,0.45,42311639,199513292,27600,27391,14201426,32055006,454561891,58602119,0.036,0.0398,93204847,0.0572,0.058,59480,51,26394,23,3403,2.91,218,118859351,545226,3416031,6168038,28294,1941102,2099717,4068321,813298,0.0068,0.0108,0.0519,0.06,1233052,5656,0.0104,0.012
10464,59,6414999,32569999,2432040,9821995,1109808,2921423,2432040,10222884,0.3139,0.3114,1111112,3033669,450,434,1138211,600390,6900572,889622,0.0273,0.0369,1317934,0.0405,0.0401,75046,54,23555,17,3037,2.2,67,44001160,656734,1247603,2484372,37080,394931,419825,2064547,412724,0.0094,0.0113,0.0565,0.06,496651,7413,0.0113,0.012
10465,286,49070318,191532001,16130369,65784651,10019012,40251626,18237089,73470548,0.3836,0.45,12127588,45799130,3456,3416,5297419,4571265,25441922,3279973,0.0171,0.0417,9471823,0.0495,0.058,56069,42,21508,16,2773,2.07,1225,714064373,582910,16983858,36055284,29433,2854607,3239183,32816101,6560267,0.0092,0.0096,0.0505,0.0512,7207812,5884,0.0101,0.0102
10466,461,97545010,475688010,32151413,163400155,11583555,62134629,32579825,185171982,0.3893,0.28,11635726,71169468,9409,9284,5407503,8324515,100698273,12982021,0.0273,0.0329,23872372,0.0502,0.0361,51237,57,19945,22,2571,2.87,2414,1525975037,632135,37722554,81329353,33691,6368698,7377739,73951614,14783667,0.0097,0.0101,0.0533,0.0539,16258551,6735,0.0107,0.0108
10467,1201,183635639,1372600004,63356156,503402675,17048544,142174306,65376198,562701479,0.41,0.45,17928443,150171073,44351,43967,30453170,31082893,359089611,46293833,0.0337,0.0412,72543475,0.0529,0.058,31219,44,12798,18,1650,2.33,573,353784043,617424,8909615,18806876,32822,1430875,1677150,17129726,3424404,0.0097,0.0101,0.0532,0.0539,3759683,6561,0.0106,0.0108
10468,636,108079035,1012723011,33083337,380120035,5700070,64616941,45226867,439091255,0.4336,0.45,6892262,72653176,24712,24304,6928906,25002703,314466244,40540988,0.04,0.0471,56607645,0.0559,0.058,41669,41,18067,18,2329,2.26,812,646157671,795761,10230444,24618646,30319,1463675,2022556,22596090,4517184,0.007,0.0069,0.0381,0.0365,4921514,6061,0.0076,0.0073
10469,236,61466010,277192443,17060155,83847800,7213828,43144706,17211299,92973106,0.3354,0.1671,7364972,48403168,17505,17418,2788846,4298022,40599900,5234139,0.0189,0.0203,11986093,0.0432,0.0215,15914,64,5338,22,688,2.79,1869,1675193686,896305,18385882,62145311,33251,3340496,6146532,55998779,11194716,0.0067,0.0071,0.0371,0.038,12423469,6647,0.0074,0.0076
