Zip Code,# of Properties,Finance FY'2017 Market Value Total,Average Market Value,Finance FY'2017 Assessed Value Land,Finance FY'2017 Assessed Value Total,Average Assessed Value,Finance FY'2017 Exempt Value Land,Finance FY'2017 Exempt Value Total,"Finance FY'2017 Taxable Assessed Value 
(Assessed Value minus Exempt Value)","FY'2017 Taxes
(Taxable Assessed Value * Tax Rate)",FY'2017 Average Effective Tax Rate (Taxes ÷ Market Value),FY'2017 Median Effective Tax Rate,"FY'2017 Average Assessment Ratio
(Assessed Value ÷ Market Value)",FY'2017 Median Actual Assessment Ratio,FY'2017 Taxes w/out Exemptions,FY'2017 Average Taxes w/out Exemptions,FY'2017 Average Effective Tax Rate w/out Exemptions,FY'2017 Median Effective Tax Rate w/out Exemption,,,,,,,,,,
10309,"10,211 ","$5,581,361,153 ","$546,603 ","$112,381,100 ","$297,102,421 ","$29,096 ","$24,113,100 ","$29,204,773 ","$267,897,648 ","$53,555,419 ",0.96%,1.07%,5.32%,5.73%,"59,393,745 ","$5,817 ",1.06%,1.15%,,,,,,,,,,
10310,"5,723 ","$2,336,081,005 ","$408,192 ","$61,221,755 ","$124,739,136 ","$21,796 ","$10,275,283 ","$11,820,199 ","$112,918,937 ","$22,573,625 ",0.97%,1.02%,5.34%,5.45%,"24,936,601 ","$4,357 ",1.07%,1.09%,,,,,,,,,,
10312,"19,860 ","$9,843,465,405 ","$495,643 ","$203,592,351 ","$534,172,577 ","$26,897 ","$53,362,009 ","$64,660,418 ","$469,512,159 ","$93,860,176 ",0.95%,1.06%,5.43%,5.72%,"106,786,440 ","$5,377 ",1.08%,1.14%,,,,,,,,,,
10314,"23,769 ","$11,057,906,823 ","$465,224 ","$223,041,643 ","$577,202,061 ","$24,284 ","$53,960,176 ","$67,312,707 ","$509,889,354 ","$101,931,981 ",0.92%,1.04%,5.22%,5.61%,"115,388,464 ","$4,855 ",1.04%,1.12%,,,,,,,,,,
10451,532 ,"$205,100,133 ","$385,527 ","$3,956,085 ","$8,490,400 ","$15,959 ","$1,875,903 ","$4,536,129 ","$3,954,271 ","$790,498 ",0.39%,0.35%,4.14%,2.99%,"1,697,316 ","$3,190 ",0.83%,0.60%,,,,,,,,,,
10452,598 ,"$260,845,567 ","$436,197 ","$3,299,766 ","$8,209,682 ","$13,729 ","$723,614 ","$1,886,524 ","$6,323,158 ","$1,264,063 ",0.48%,0.43%,3.15%,2.46%,"1,641,198 ","$2,744 ",0.63%,0.49%,,,,,,,,,,
10453,"1,200 ","$517,030,540 ","$430,859 ","$8,551,542 ","$20,309,912 ","$16,925 ","$1,345,343 ","$2,605,220 ","$17,704,692 ","$3,539,345 ",0.68%,0.66%,3.93%,3.74%,"4,060,155 ","$3,383 ",0.79%,0.75%,,,,,,,,,,
10454,790 ,"$298,208,133 ","$377,479 ","$4,414,365 ","$12,410,785 ","$15,710 ","$826,791 ","$2,580,446 ","$9,830,339 ","$1,965,183 ",0.66%,0.64%,4.16%,4.57%,"2,481,040 ","$3,141 ",0.83%,0.91%,,,,,,,,,,
10455,952 ,"$372,681,291 ","$391,472 ","$6,233,227 ","$15,986,609 ","$16,793 ","$932,965 ","$3,377,365 ","$12,609,244 ","$2,520,714 ",0.68%,0.61%,4.29%,4.27%,"3,195,883 ","$3,357 ",0.86%,0.85%,,,,,,,,,,
10456,"1,860 ","$690,379,703 ","$371,172 ","$8,932,313 ","$25,305,248 ","$13,605 ","$1,733,488 ","$6,325,182 ","$18,980,066 ","$3,794,305 ",0.55%,0.52%,3.67%,3.31%,"5,058,772 ","$2,720 ",0.73%,0.66%,,,,,,,,,,
10457,"1,658 ","$680,971,092 ","$410,718 ","$10,355,042 ","$26,792,979 ","$16,160 ","$1,772,155 ","$4,907,264 ","$21,885,715 ","$4,375,173 ",0.64%,0.65%,3.93%,4.06%,"5,356,184 ","$3,231 ",0.79%,0.81%,,,,,,,,,,
10458,"1,375 ","$584,590,303 ","$425,157 ","$9,440,463 ","$25,829,382 ","$18,785 ","$1,399,004 ","$2,719,192 ","$23,110,190 ","$4,619,958 ",0.79%,0.82%,4.42%,4.43%,"5,163,552 ","$3,755 ",0.88%,0.89%,,,,,,,,,,
10459,"1,820 ","$671,867,642 ","$369,158 ","$12,183,510 ","$30,340,593 ","$16,671 ","$1,929,132 ","$4,909,612 ","$25,430,981 ","$5,083,907 ",0.76%,0.79%,4.52%,5.00%,"6,065,388 ","$3,333 ",0.90%,1.00%,,,,,,,,,,
10460,"1,854 ","$767,556,600 ","$414,000 ","$13,745,577 ","$37,034,907 ","$19,976 ","$1,963,185 ","$5,240,577 ","$31,794,330 ","$6,356,005 ",0.83%,0.92%,4.83%,5.29%,"7,403,648 ","$3,993 ",0.96%,1.06%,,,,,,,,,,
10461,"4,292 ","$2,061,872,236 ","$480,399 ","$40,288,721 ","$112,548,598 ","$26,223 ","$8,570,778 ","$12,412,046 ","$100,136,552 ","$20,018,298 ",0.97%,1.05%,5.46%,5.60%,"22,499,590 ","$5,242 ",1.09%,1.12%,,,,,,,,,,
10462,"3,683 ","$1,655,038,968 ","$449,373 ","$31,669,806 ","$89,498,686 ","$24,300 ","$5,712,015 ","$8,385,085 ","$81,113,601 ","$16,215,420 ",0.98%,1.04%,5.41%,5.53%,"17,891,682 ","$4,858 ",1.08%,1.10%,,,,,,,,,,
10463,"1,798 ","$1,202,234,719 ","$668,651 ","$22,269,277 ","$54,328,118 ","$30,216 ","$5,458,815 ","$7,098,015 ","$47,230,103 ","$9,441,770 ",0.79%,0.87%,4.52%,4.69%,"10,860,734 ","$6,040 ",0.90%,0.94%,,,,,,,,,,
10464,"1,493 ","$699,831,446 ","$468,742 ","$15,060,146 ","$36,475,884 ","$24,431 ","$2,684,788 ","$3,439,453 ","$33,036,431 ","$6,604,313 ",0.94%,1.01%,5.21%,5.53%,"7,291,894 ","$4,884 ",1.04%,1.11%,,,,,,,,,,
10465,"2,377 ","$1,293,336,639 ","$544,105 ","$27,441,078 ","$69,712,140 ","$29,328 ","$6,643,087 ","$8,850,474 ","$60,861,666 ","$12,166,856 ",0.94%,1.05%,5.39%,5.76%,"13,936,154 ","$5,863 ",1.08%,1.15%,,,,,,,,,,
10466,5 ,"$24,812,000 ","$4,962,400 ","$514,803 ","$514,803 ","$102,961 ","$514,803 ","$514,803 ",$0 ,$0 ,0.00%,0.00%,2.07%,2.24%,"102,914 ","$20,583 ",0.41%,0.45%,,,,,,,,,,
10467,"3,226 ","$1,472,622,876 ","$456,486 ","$26,638,139 ","$75,957,395 ","$23,545 ","$4,030,295 ","$7,182,310 ","$68,775,085 ","$13,748,827 ",0.93%,0.99%,5.16%,5.24%,"15,184,643 ","$4,707 ",1.03%,1.05%,,,,,,,,,,
10468,749 ,"$356,160,600 ","$475,515 ","$5,637,687 ","$15,100,375 ","$20,161 ","$975,694 ","$1,890,466 ","$13,209,909 ","$2,640,793 ",0.74%,0.80%,4.24%,4.24%,"3,018,716 ","$4,030 ",0.85%,0.85%,,,,,,,,,,
10469,"20,240 ","$8,749,025,294 ","$432,264 ","$168,982,915 ","$474,810,719 ","$23,459 ","$30,826,188 ","$44,167,010 ","$430,643,709 ","$86,089,984 ",0.98%,1.05%,5.43%,5.58%,"94,919,411 ","$4,690 ",1.08%,1.12%,,,,,,,,,,
10470,"1,077 ","$516,982,200 ","$480,021 ","$10,286,996 ","$28,935,819 ","$26,867 ","$2,003,962 ","$2,741,492 ","$26,194,327 ","$5,236,508 ",1.01%,1.08%,5.60%,5.76%,"5,784,560 ","$5,371 ",1.12%,1.15%,,,,,,,,,,
10471,"2,237 ","$2,211,371,524 ","$988,543 ","$38,842,491 ","$107,248,320 ","$47,943 ","$5,160,235 ","$6,838,195 ","$100,410,125 ","$20,072,988 ",0.91%,0.98%,4.85%,5.19%,"21,440,012 ","$9,584 ",0.97%,1.04%,,,,,,,,,,
10472,"3,095 ","$1,362,073,534 ","$440,088 ","$25,986,033 ","$74,340,364 ","$24,020 ","$4,491,555 ","$7,362,311 ","$66,978,053 ","$13,389,583 ",0.98%,1.07%,5.46%,5.71%,"14,861,382 ","$4,802 ",1.09%,1.14%,,,,,,,,,,
10473,"5,308 ","$2,148,854,680 ","$404,833 ","$37,578,664 ","$107,021,818 ","$20,162 ","$8,769,591 ","$19,569,066 ","$87,452,752 ","$17,482,680 ",0.81%,0.99%,4.98%,5.54%,"21,394,732 ","$4,031 ",1.00%,1.11%,,,,,,,,,,
10474,355 ,"$164,325,550 ","$462,889 ","$1,962,757 ","$5,558,464 ","$15,658 ","$380,649 ","$1,227,944 ","$4,330,520 ","$865,714 ",0.53%,0.54%,3.38%,2.98%,"1,111,193 ","$3,130 ",0.68%,0.60%,,,,,,,,,,
10475,218 ,"$118,859,351 ","$545,226 ","$3,416,031 ","$6,168,038 ","$28,294 ","$1,941,102 ","$2,099,717 ","$4,068,321 ","$813,298 ",0.68%,1.08%,5.19%,6.00%,"1,233,052 ","$5,656 ",1.04%,1.20%,,,,,,,,,,
10803,67 ,"$44,001,160 ","$656,734 ","$1,247,603 ","$2,484,372 ","$37,080 ","$394,931 ","$419,825 ","$2,064,547 ","$412,724 ",0.94%,1.13%,5.65%,6.00%,"496,651 ","$7,413 ",1.13%,1.20%,,,,,,,,,,
11001,"1,225 ","$714,064,373 ","$582,910 ","$16,983,858 ","$36,055,284 ","$29,433 ","$2,854,607 ","$3,239,183 ","$32,816,101 ","$6,560,267 ",0.92%,0.96%,5.05%,5.12%,"7,207,812 ","$5,884 ",1.01%,1.02%,,,,,,,,,,
11004,"2,414 ","$1,525,975,037 ","$632,135 ","$37,722,554 ","$81,329,353 ","$33,691 ","$6,368,698 ","$7,377,739 ","$73,951,614 ","$14,783,667 ",0.97%,1.01%,5.33%,5.39%,"16,258,551 ","$6,735 ",1.07%,1.08%,,,,,,,,,,
11040,573 ,"$353,784,043 ","$617,424 ","$8,909,615 ","$18,806,876 ","$32,822 ","$1,430,875 ","$1,677,150 ","$17,129,726 ","$3,424,404 ",0.97%,1.01%,5.32%,5.39%,"3,759,683 ","$6,561 ",1.06%,1.08%,,,,,,,,,,
11101,812 ,"$646,157,671 ","$795,761 ","$10,230,444 ","$24,618,646 ","$30,319 ","$1,463,675 ","$2,022,556 ","$22,596,090 ","$4,517,184 ",0.70%,0.69%,3.81%,3.65%,"4,921,514 ","$6,061 ",0.76%,0.73%,,,,,,,,,,
11102,"1,869 ","$1,675,193,686 ","$896,305 ","$18,385,882 ","$62,145,311 ","$33,251 ","$3,340,496 ","$6,146,532 ","$55,998,779 ","$11,194,716 ",0.67%,0.71%,3.71%,3.80%,"12,423,469 ","$6,647 ",0.74%,0.76%,,,,,,,,,,
11103,"2,902 ","$2,730,540,805 ","$940,917 ","$27,217,153 ","$107,079,780 ","$36,899 ","$4,994,743 ","$8,795,639 ","$98,284,141 ","$19,647,983 ",0.72%,0.76%,3.92%,4.01%,"21,406,319 ","$7,376 ",0.78%,0.80%,,,,,,,,,,
